sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.real;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;Jc;Jo;Jt;Jc/Jt;Jo/Jt;Jc/Jo
Corylus avellana;2;25;9.3189;10.0092;0.6315;8.6874;1.3218;0.1522;0.1851;0.1876;0.0025;0.0132;0.0024;0.0024;0;0.0151;55.5682;42.5931;-12.9751;-0.2335;-0.9992;-0.999;0.0002;-0.0002;57.57086667;40.59053333;98.1614;0.586491907;0.413508093;
Corylus avellana;2;30;6.1617;8.9012;0.4562;5.7055;3.1957;0.5601;0.0734;0.0688;-0.0046;-0.0623;0.0014;0.0013;-0.0001;-0.0491;48.5284;19.4363;-29.0921;-0.5995;-0.999;-0.9991;-0.0001;0.0001;39.0861;28.8786;67.9647;0.57509413;0.42490587;
Corylus avellana;2;35;8.0336;13.1005;0.5601;7.4735;5.627;0.7529;0.1192;0.1235;0.0043;0.0361;0.0036;0.0039;0.0003;0.0809;56.1771;48.8346;-7.3425;-0.1307;-0.9991;-0.999;0.0001;-0.0001;56.42683333;48.58486667;105.0117;0.537338538;0.462661462;
Corylus avellana;3;25;10.1103;12.6847;0.6755;9.4348;3.2499;0.3445;0.295;0.2816;-0.0134;-0.0455;0.0037;0.0035;-0.0002;-0.0541;53.3021;47.7755;-5.5266;-0.1037;-0.9993;-0.9991;0.0002;-0.0002;60.65333333;40.42426667;101.0776;0.600067011;0.399932989;
Corylus avellana;3;35;6.4329;11.5698;0.4712;5.9616;5.6082;0.9407;0.1123;0.1372;0.0249;0.2219;0.0034;0.0041;0.0006;0.1746;57.0873;38.665;-18.4223;-0.3227;-0.999;-0.9991;-0.0001;0.0001;49.07156667;46.68073333;95.7523;0.512484469;0.487515531;
Corylus avellana;4;25;6.0413;11.4614;0.4495;5.5918;5.8696;1.0497;0.1156;0.173;0.0575;0.4973;0.0015;0.0023;0.0007;0.4703;30.4738;34.1722;3.6985;0.1214;-0.9992;-0.999;0.0002;-0.0002;37.6588;26.9872;64.646;0.582538749;0.417461251;
Corylus avellana;4;30;4.9175;6.1671;0.3871;4.5305;1.6366;0.3612;0.0821;0.0562;-0.0259;-0.3153;0.0014;0.001;-0.0005;-0.3182;29.6987;17.9492;-11.7495;-0.3956;-0.9991;-0.9991;0;0;28.99623333;18.65166667;47.6479;0.608552178;0.391447822;
Corylus avellana;4;35;5.4313;8.2672;0.4156;5.0157;3.2515;0.6483;0.0782;0.0697;-0.0085;-0.1089;0.0026;0.0022;-0.0004;-0.1448;44.7429;29.5437;-15.1992;-0.3397;-0.9991;-0.9991;0.0001;-0.0001;39.24563333;35.04086667;74.2865;0.528301015;0.471698985;
Corylus avellana;5;25;11.1797;12.1331;0.7349;10.4448;1.6883;0.1616;0.2556;0.299;0.0434;0.1698;0.0033;0.0038;0.0005;0.1449;60.1605;43.6825;-16.4779;-0.2739;-0.9992;-0.999;0.0002;-0.0002;64.42686667;39.41613333;103.843;0.620425707;0.379574293;
Corylus avellana;5;30;8.8738;15.3508;0.6068;8.267;7.0838;0.8569;0.1927;0.1597;-0.033;-0.1712;0.0031;0.0028;-0.0004;-0.1175;47.1401;48.4392;1.2991;0.0276;-0.9992;-0.9991;0.0001;-0.0001;55.52323333;40.05606667;95.5793;0.580912743;0.419087257;
